feature,mean,std,min,25%,50%,75%,max,variance
Active Mean,91521.68917165085,686441.1575582183,0.0,0.0,0.0,0.0,110000000.0,471201462789.86676
Active Min,65422.99553156922,610971.1643973555,0.0,0.0,0.0,0.0,110000000.0,373285763725.0604
Active Std,46163.125325561916,416456.84207146976,0.0,0.0,0.0,0.0,74200000.0,173436301308.14108
Flow Packets/s,47262.627905545385,202577.13837570077,-2000000.0,2.0304884296749997,70.08936394,17857.14286,4000000.0,41037496992.48782
Fwd Packets/s,40834.35324275269,193208.29813464536,0.0,1.21047540575,37.9003221527,9433.962264,3000000.0,37329446468.086006
Bwd Packets/s,6509.474728094745,38133.120125473964,0.0,0.16765054925,19.12923713,2083.333333,2000000.0,1454134850.5038276
Destination Port,8704.762164590175,19025.06673654837,0.0,53.0,80.0,443.0,65535.0,361953164.3301193
Init_Win_bytes_forward,7265.655351214457,14598.689911671154,-1.0,-1.0,251.0,8192.0,65535.0,213121747.1371291
Total Length of Fwd Packets,611.5751081724194,10584.994542218175,0.0,12.0,66.0,332.0,12900000.0,112042109.45878856
Subflow Fwd Bytes,611.5633485598023,10570.67048632171,0.0,12.0,66.0,332.0,12870338.0,111739074.53039283
Init_Win_bytes_backward,2230.8260788895486,8928.41964094978,-1.0,-1.0,0.0,235.0,65535.0,79716677.2848978
Max Packet Length,1063.0975070192146,2121.197289819851,0.0,6.0,102.0,1106.0,24820.0,4499477.942339081
Bwd Packet Length Max,974.3700309471836,2037.8587470618124,0.0,6.0,97.0,746.0,19530.0,4152868.27297634
Total Backward Packets,11.565964361975006,1056.5944106706518,0.0,1.0,2.0,5.0,291922.0,1116391.7486604617
Subflow Bwd Packets,11.565964361975006,1056.5944106706518,0.0,1.0,2.0,5.0,291922.0,1116391.7486604617
Bwd Packet Length Std,376.3118104023802,880.8313903954923,0.0,0.0,0.0,262.4918684,8194.660487,775863.9383060562
Total Fwd Packets,10.276271209287168,794.1737811387183,1.0,2.0,2.0,6.0,219759.0,630711.9946481688
Subflow Fwd Packets,10.276271209287168,794.1737811387183,1.0,2.0,2.0,6.0,219759.0,630711.9946481688
Fwd Packet Length Max,231.0917683504588,756.1624652724623,0.0,6.0,40.0,202.0,24820.0,571781.6738869278
act_data_pkt_fwd,6.005904386444135,674.2059416040566,0.0,0.0,1.0,3.0,213557.0,454553.65169421263
Packet Length Std,329.99877273375404,660.7343419138999,0.0,2.309401077,32.33161507,322.08097087500005,4731.522394,436569.87058439443
Avg Bwd Segment Size,340.41325215665665,632.4238313247113,0.0,6.0,88.0,218.0,5800.5,399959.9024274269
Bwd Packet Length Mean,340.413252156646,632.4238313246908,0.0,6.0,88.0,218.0,5800.5,399959.9024274009
Average Packet Size,212.3114675349474,345.43534902017615,0.0,9.0,80.75,179.6153846,3893.333333,119325.5803526909
Packet Length Mean,190.5415005789032,318.29149375298505,0.0,6.0,63.6,155.3333333,3337.142857,101309.4749955065
Fwd Packet Length Std,77.27758691999487,296.7953284645765,0.0,0.0,0.0,74.13913347,7125.5968458437,88087.46699839587
Fwd Packet Length Mean,63.4701043076226,195.5014873312628,0.0,6.0,36.11111111,52.0,5940.857143,38220.831548735914
Avg Fwd Segment Size,63.4701043076226,195.5014873312628,0.0,6.0,36.11111111,52.0,5940.857143,38220.831548735914
Bwd Packet Length Min,43.13467020197735,70.87022215383843,0.0,0.0,0.0,82.0,2896.0,5022.588388134412
Fwd Packet Length Min,19.194640975403214,60.79446603338323,0.0,0.0,2.0,37.0,2325.0,3695.9671002841874
Min Packet Length,16.823494010772443,25.578730891000347,0.0,0.0,2.0,37.0,1448.0,654.2714739942155
Down/Up Ratio,0.7003495136701234,0.6955666838241548,0.0,0.0,1.0,1.0,156.0,0.4838130116461317
ACK Flag Count,0.31218754484883615,0.463385980387037,0.0,0.0,0.0,1.0,1.0,0.21472656681925542
PSH Flag Count,0.29751915070081136,0.45716691538928483,0.0,0.0,0.0,1.0,1.0,0.2090015885265535
URG Flag Count,0.10142755084321758,0.3018940855763472,0.0,0.0,0.0,0.0,1.0,0.09114003890597887
Fwd PSH Flags,0.04873804790906301,0.21531992238465342,0.0,0.0,0.0,0.0,1.0,0.04636266897573318
SYN Flag Count,0.04873804790906301,0.21531992238465342,0.0,0.0,0.0,0.0,1.0,0.04636266897573318
FIN Flag Count,0.032146852830799065,0.17639003662031913,0.0,0.0,0.0,0.0,1.0,0.031113445018917527
ECE Flag Count,0.00027315666823398067,0.01652519778801576,0.0,0.0,0.0,0.0,1.0,0.0002730821619330409
RST Flag Count,0.0002719673068338327,0.016489191866523877,0.0,0.0,0.0,0.0,1.0,0.0002718934484110372
Fwd URG Flags,3.171630400394551e-05,0.005631634811816303,0.0,0.0,0.0,0.0,1.0,3.1715310653661246e-05
CWE Flag Count,3.171630400394551e-05,0.005631634811816303,0.0,0.0,0.0,0.0,1.0,3.1715310653661246e-05
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
